ÐòºÅ     x×ø±ê             y×ø±ê
N 780  G00X185.547     Y-10.516
N 781  G00X185.645     Y-12.586
N 782  G00X185.983     Y-14.627
N 783  G00X186.562     Y-16.641
N 784  G00X187.382     Y-18.627
N 785  G00X188.443     Y-20.584
N 786  G00X189.745     Y-22.513
N 787  G00X191.287     Y-24.414
N 788  G00X193.070     Y-26.288
N 789  G00X195.094     Y-28.133
N 790  G00X197.358     Y-29.950
N 791  G00X199.864     Y-31.739
N 792  G00X202.610     Y-33.500
N 793  G00X205.597     Y-35.233
N 794  G00X208.825     Y-36.938
N 795  G00X212.294     Y-38.616
N 796  G00X216.003     Y-40.265
N 797  G00X219.953     Y-41.886
N 798  G00X224.144     Y-43.480
N 799  G00X228.576     Y-45.046
N 800  G00X233.249     Y-46.584
N 801  G00X233.249     Y-46.584
N 802  G00X240.066     Y-48.883
N 803  G00X246.526     Y-51.284
N 804  G00X252.629     Y-53.788
N 805  G00X258.376     Y-56.395
N 806  G00X263.767     Y-59.104
N 807  G00X268.801     Y-61.915
N 808  G00X273.478     Y-64.828
N 809  G00X277.798     Y-67.843
N 810  G00X281.762     Y-70.961
N 811  G00X285.370     Y-74.181
N 812  G00X288.620     Y-77.503
N 813  G00X291.514     Y-80.927
N 814  G00X294.052     Y-84.453
N 815  G00X296.233     Y-88.081
N 816  G00X298.057     Y-91.811
N 817  G00X299.525     Y-95.643
N 818  G00X300.636     Y-99.577
N 819  G00X301.390     Y-103.612
N 820  G00X301.788     Y-107.750
N 821  G00X301.829     Y-111.989
N 822  G00X301.829     Y-111.989
N 823  G00X301.355     Y-117.821
N 824  G00X300.552     Y-123.384
N 825  G00X299.419     Y-128.678
N 826  G00X297.955     Y-133.703
N 827  G00X296.163     Y-138.458
N 828  G00X294.040     Y-142.945
N 829  G00X291.588     Y-147.163
N 830  G00X288.807     Y-151.111
N 831  G00X285.696     Y-154.791
N 832  G00X282.255     Y-158.201
N 833  G00X278.485     Y-161.342
N 834  G00X274.386     Y-164.214
N 835  G00X269.957     Y-166.817
N 836  G00X265.200     Y-169.150
N 837  G00X260.113     Y-171.214
N 838  G00X254.697     Y-173.009
N 839  G00X248.952     Y-174.535
N 840  G00X242.878     Y-175.791
N 841  G00X236.475     Y-176.778
N 842  G00X229.744     Y-177.496
N 843  G00X229.744     Y-177.496
N 844  G00X226.819     Y-177.652
N 845  G00X223.882     Y-177.724
N 846  G00X220.933     Y-177.713
N 847  G00X217.972     Y-177.617
N 848  G00X214.999     Y-177.438
N 849  G00X212.013     Y-177.174
N 850  G00X209.015     Y-176.827
N 851  G00X206.006     Y-176.395
N 852  G00X202.983     Y-175.879
N 853  G00X199.949     Y-175.279
N 854  G00X196.903     Y-174.595
N 855  G00X193.844     Y-173.827
N 856  G00X190.773     Y-172.974
N 857  G00X187.690     Y-172.037
N 858  G00X184.595     Y-171.016
N 859  G00X181.487     Y-169.910
N 860  G00X178.368     Y-168.720
N 861  G00X175.236     Y-167.446
N 862  G00X172.092     Y-166.087
N 863  G00X168.936     Y-164.643
N 864  G00X168.936     Y-164.643
N 865  G00X168.399     Y-165.226
N 866  G00X167.861     Y-165.810
N 867  G00X167.324     Y-166.393
N 868  G00X166.787     Y-166.977
N 869  G00X166.250     Y-167.562
N 870  G00X165.712     Y-168.146
N 871  G00X165.175     Y-168.731
N 872  G00X164.638     Y-169.316
N 873  G00X164.101     Y-169.900
N 874  G00X163.564     Y-170.485
N 875  G00X163.026     Y-171.070
N 876  G00X162.489     Y-171.655
N 877  G00X161.952     Y-172.239
N 878  G00X161.415     Y-172.824
N 879  G00X160.878     Y-173.409
N 880  G00X160.340     Y-173.993
N 881  G00X159.803     Y-174.577
N 882  G00X159.266     Y-175.161
N 883  G00X158.729     Y-175.744
N 884  G00X158.191     Y-176.327
N 885  G00X158.191     Y-176.327
N 886  G00X157.502     Y-176.327
N 887  G00X156.812     Y-176.327
N 888  G00X156.123     Y-176.327
N 889  G00X155.433     Y-176.327
N 890  G00X154.743     Y-176.327
N 891  G00X154.054     Y-176.327
N 892  G00X153.364     Y-176.327
N 893  G00X152.675     Y-176.327
N 894  G00X151.985     Y-176.327
N 895  G00X151.295     Y-176.327
N 896  G00X150.606     Y-176.327
N 897  G00X149.916     Y-176.327
N 898  G00X149.227     Y-176.327
N 899  G00X148.537     Y-176.327
N 900  G00X147.847     Y-176.327
N 901  G00X147.158     Y-176.327
N 902  G00X146.468     Y-176.327
N 903  G00X145.779     Y-176.327
N 904  G00X145.089     Y-176.327
N 905  G00X144.399     Y-176.327
;N 906  G00X-277.243    Y-849.204
